,X,Y,Diff,Target
166,0.76259524,0.81690675,0.46042806,0
167,0.6967815,0.7397624,0.40017098,0
168,0.74054104,0.7941939,0.5861499,0
169,0.69166166,0.7334942,0.39100254,0
170,0.72751546,0.77449256,0.35900033,0
171,0.72569305,0.77078515,0.4585985,0
172,0.7379926,0.7877134,0.2476019,0
173,0.7875778,0.84481466,0.5169828,0
174,0.7608244,0.8139944,0.43457833,0
175,0.6905171,0.7294287,0.44477427,0
176,0.6837842,0.72474355,0.5258337,0
177,0.72257525,0.7697253,0.38190916,0
178,0.6927623,0.73303187,0.4551416,0
179,0.7069168,0.75211746,0.33873242,0
180,0.68830496,0.728914,0.41309583,0
181,0.7392187,0.79173523,0.47441688,0
182,0.7347971,0.78260446,0.28328153,0
183,0.72389674,0.7700013,0.42561078,0
184,0.74726254,0.799075,0.37454727,0
185,0.6912978,0.7317763,0.3024676,0
186,0.7634141,0.81617785,0.38297123,0
187,0.72686136,0.7783635,0.7938399,0
188,0.6962366,0.7389193,0.33868954,0
189,0.7483048,0.8024638,0.76633805,1
190,0.7320166,0.78044945,0.26876482,0
191,0.73788327,0.7886473,0.35399437,0
192,0.71494764,0.76222986,0.24732706,0
193,0.7216504,0.76965487,0.365094,0
194,0.70523965,0.75193727,0.41335022,0
195,0.7474862,0.79989177,0.42509606,0
196,0.74456775,0.79526454,0.31697077,0
197,0.77835923,0.83401614,0.3426198,0
198,0.7158964,0.7630716,0.30213302,0
199,0.7806316,0.8355323,0.3787917,0
200,0.684261,0.72687304,0.5036702,0
201,0.70681965,0.75073314,0.315813,0
202,0.69511855,0.7370447,0.25415978,0
203,0.6894217,0.7288622,0.46436173,0
204,0.7433161,0.7935782,0.31207252,0
205,0.72524023,0.7750767,0.31891662,0
206,0.75855535,0.81343883,0.8287836,1
207,0.7498595,0.80338806,0.5507541,0
208,0.7304943,0.7802232,0.3440743,0
209,0.6730003,0.71084046,0.7679754,0
210,0.69590694,0.7363082,0.44607303,0
211,0.7147153,0.7594046,0.39744622,0
212,0.70251125,0.7453333,0.41979313,0
213,0.70230067,0.7447535,0.41977167,0
214,0.6849911,0.72772646,0.62915266,0
215,0.7176577,0.76669014,0.34947744,0
216,0.7716548,0.8259165,0.5658441,0
217,0.7271553,0.7728232,0.33925477,0
218,0.6894847,0.7318067,0.5733154,0
219,0.7602132,0.81366515,0.37825722,0
220,0.7449261,0.7968894,0.40494674,0
221,0.6873015,0.72984385,0.48642215,0
222,0.70081455,0.74601924,0.46660313,0
223,0.6608971,0.69183487,0.5669749,0
224,0.713462,0.76061636,0.32985985,0
225,0.72808325,0.7757591,0.28571612,0
226,0.7162611,0.7630401,0.3322106,0
227,0.6824737,0.72274387,0.56284404,0
228,0.71518016,0.76374525,0.4024546,0
229,0.74689806,0.79926854,0.34987345,0
230,0.71621877,0.76186866,0.36546272,0
231,0.75541466,0.80750793,0.5110411,1
232,0.7659795,0.82059973,0.44085035,0
233,0.72614986,0.7737071,0.28954428,0
234,0.71853626,0.767484,0.42789146,0
235,0.706695,0.7527244,0.36195198,0
236,0.6782681,0.7142961,0.5668852,0
237,0.7340286,0.7841115,0.42238098,0
238,0.7564718,0.809973,0.29013994,0
239,0.6937401,0.7335629,0.40279287,0
240,0.7113179,0.758443,0.37484068,0
241,0.70442826,0.7516428,0.6353538,1
242,0.70422846,0.7504906,0.4870066,1
243,0.6745466,0.71189964,0.41505173,0
244,0.7491699,0.80170345,0.615256,1
245,0.71400565,0.75806534,0.35397342,0
246,0.7357136,0.7854213,0.30717504,0
247,0.69366735,0.73219365,0.5188784,0
248,0.7574316,0.8102144,0.36467367,0
249,0.7422936,0.7928794,0.36629686,0
250,0.7509904,0.8007902,0.3125379,0
251,0.75797445,0.80852133,0.35442063,0
252,0.71038437,0.7564325,0.31605133,0
253,0.7153819,0.76062846,0.3618161,0
254,0.73610216,0.7869002,0.5874686,1
255,0.7147696,0.7610578,0.6326104,1
256,0.7193436,0.7661664,0.4442122,0
257,0.71591854,0.7634088,0.43236405,0
258,0.7007216,0.74344105,0.25093547,0
259,0.70214385,0.74588054,0.32708424,0
260,0.76762605,0.8212068,0.37716413,0
261,0.7329606,0.78351766,0.42406616,0
262,0.72241586,0.7717085,0.30523023,0
263,0.7199214,0.7663547,0.25232744,0
264,0.6875027,0.7249159,0.4457191,0
265,0.73234254,0.7811595,0.4204061,0
266,0.7187277,0.7640591,0.39500615,0
267,0.70988125,0.7580348,0.8758643,1
268,0.71211743,0.7606779,0.519543,0
269,0.7026777,0.74682003,0.32157883,0
270,0.67308885,0.7102112,0.4748704,0
271,0.7359302,0.7853218,0.3648655,0
272,0.70202786,0.74710137,0.79335344,0
273,0.69755894,0.74062675,0.41414267,0
274,0.7202531,0.76555276,0.4206265,0
275,0.7264118,0.77289027,0.36260203,0
276,0.7788395,0.83201975,0.45061532,0
277,0.7724738,0.82512105,0.39363655,0
278,0.7315427,0.7817577,0.4151399,0
279,0.70960575,0.75366485,0.2886122,0
280,0.712622,0.7587965,0.34292328,0
281,0.78284234,0.8380286,0.444934,0
282,0.72781867,0.7753238,0.3098384,0
283,0.7075022,0.7532857,0.49058375,0
284,0.684579,0.7248625,0.54020643,0
285,0.7130878,0.75902265,0.39632073,0
286,0.72101635,0.7679092,0.36581844,0
287,0.6880474,0.72916716,0.6364724,0
288,0.66580397,0.70003563,0.4582341,0
289,0.67991793,0.7172651,0.53541917,0
290,0.7702325,0.82749164,0.8367762,1
291,0.7171756,0.762442,0.3453588,0
292,0.6954715,0.73869586,0.46494263,0
293,0.71184266,0.7548222,0.5675471,1
294,0.7097872,0.7532183,0.31443778,0
295,0.70352423,0.74526453,0.38691095,0
296,0.7163098,0.7630244,0.2732498,0
297,0.71024644,0.7572902,0.36120573,0
298,0.69992787,0.7444827,0.46771744,0
299,0.762089,0.81543267,0.33177447,0
300,0.6912106,0.7325113,0.38904867,0
301,0.7396287,0.79121643,0.44315198,0
302,0.7491472,0.80168164,0.3530911,0
303,0.71188015,0.7604954,0.8152095,0
304,0.6951854,0.7346756,0.6542174,0
305,0.69521135,0.73522246,0.36687362,0
306,0.7008544,0.7432229,0.43527627,0
307,0.68059677,0.71955645,0.5372726,0
308,0.70880246,0.7542576,0.40719765,0
309,0.70664376,0.75380385,0.35020933,0
310,0.72493905,0.77202195,0.33557957,0
311,0.71175605,0.75639486,0.3913137,0
312,0.695535,0.74037313,0.53224665,0
313,0.7216059,0.769831,0.28537688,0
314,0.72044104,0.76631254,0.24971275,0
315,0.7234916,0.76955897,0.33867675,0
316,0.75803024,0.8113404,0.26207423,0
317,0.6819866,0.7224636,0.44755638,0
318,0.70758283,0.7505276,0.43786973,0
319,0.76212066,0.81453466,0.34342128,0
320,0.70249146,0.7496577,0.68779755,0
321,0.690781,0.7325722,0.5112922,0
322,0.7019803,0.741943,0.51956457,1
323,0.7691254,0.8221647,0.35745662,0
324,0.74407834,0.7929646,0.3528618,0
325,0.71136963,0.75674224,0.38039392,0
326,0.69147545,0.73298466,0.38027403,0
327,0.71464694,0.7620886,0.34532335,0
328,0.69775593,0.7411094,0.5000045,0
329,0.7082585,0.75391114,0.3386566,0
330,0.7184202,0.7624303,0.44304913,0
331,0.67688394,0.71506524,0.55950636,0
332,0.6837057,0.723241,0.58978146,0
333,0.78038275,0.8352471,0.3850784,0
334,0.719278,0.76686585,0.2872556,0
335,0.6941874,0.7343705,0.48887083,0
336,0.69042623,0.7315054,0.375292,0
337,0.71707314,0.7630723,0.30275694,0
338,0.7572302,0.81305516,0.2907195,0
339,0.7565052,0.80926865,0.39234543,0
340,0.7350094,0.7860838,0.31023744,0
341,0.7247644,0.77500445,0.36605752,0
342,0.6943271,0.7359239,0.3420858,0
343,0.71581936,0.76461947,0.95893174,1
344,0.7328818,0.784517,0.94336617,1
345,0.7687522,0.8246071,0.6156586,1
346,0.7867575,0.8439587,0.5046202,0
347,0.68780303,0.7281212,0.62268823,0
348,0.71232146,0.7581197,0.2683379,0
349,0.7661073,0.8197743,0.43914965,0
350,0.7290479,0.77517945,0.3727007,0
351,0.660396,0.6948593,0.6192416,0
352,0.71797824,0.7662573,0.30327734,0
353,0.71615607,0.7635681,0.33056328,0
354,0.7553719,0.8113814,0.56187546,0
355,0.7354686,0.78690434,0.60129917,1
356,0.7069454,0.7497055,0.36318237,0
357,0.6891084,0.72828764,0.6959512,1
358,0.7018368,0.74421144,0.37445638,0
359,0.7068031,0.7512827,0.3156606,0
360,0.66279554,0.69776,0.7424228,0
361,0.7087582,0.7555735,0.37984437,0
362,0.66812825,0.7057595,0.5233299,0
363,0.7510086,0.80274975,0.37400937,0
364,0.71455985,0.7604921,0.46118182,0
365,0.704831,0.74803686,0.50370544,0
366,0.6948637,0.7363421,0.36540368,0
367,0.73184884,0.78323007,0.41167453,0
368,0.7107384,0.7589232,0.3962183,0
369,0.7270774,0.7770393,0.48200136,1
370,0.7218616,0.7707027,0.5823465,1
371,0.77484334,0.83137804,0.4580863,0
372,0.7312549,0.7795043,0.28529328,0
373,0.7179162,0.76527345,0.28928626,0
374,0.75322086,0.80564326,0.3396248,0
375,0.7034476,0.74888176,0.7806391,0
